OBJECTID,REF_NUMBER,TIME,SEVERITY,VEHICLES,CASUALTIES,PEDESTRIAN,CYCLES,MCYCLES,CHILDREN,ACCIDENT_DESCRIPTION
13,141400270,1540,1,2,1,0,1,0,0,1
17,141400339,1805,1,2,1,0,0,0,0,2
18,141400365,1422,1,2,1,0,1,0,0,3
20,141400384,1210,2,2,1,0,0,1,0,1
23,141400473,2345,1,2,1,0,0,0,0,3
48,141400900,310,2,4,1,0,0,1,0,4
63,141401119,858,1,1,1,1,0,0,0,5
82,141402348,1405,1,1,2,1,0,1,0,5
91,141400781,330,1,1,1,0,0,0,0,1
98,141401052,1536,2,2,2,0,0,0,1,1
102,141401097,1900,1,2,1,0,0,1,0,1
105,141401139,1540,2,2,1,0,1,0,0,1
107,141401204,1715,1,2,1,0,0,0,0,2
110,141401319,1850,1,2,2,0,0,0,0,2
115,141401429,250,1,2,1,0,0,0,0,4
33,141400694,944,1,2,1,0,1,0,0,3
121,141401742,1920,1,2,2,0,0,0,0,3
132,141402071,1945,2,2,2,0,0,0,0,2
141,141402378,2320,1,1,1,0,0,0,0,4
144,141402436,1403,1,3,1,0,0,0,0,1
256,141403138,1745,1,2,2,0,0,0,0,1
257,141403205,2130,1,2,1,0,0,0,0,4
258,141403209,740,1,2,1,0,0,0,0,3
262,141403236,825,1,2,1,0,1,0,0,1
269,141403289,710,1,2,1,0,1,0,0,3
273,141403330,1215,1,1,1,1,0,0,0,5
274,141403335,740,1,2,1,0,0,1,0,1
279,141403390,1519,1,1,1,1,0,0,1,5
282,141403433,1930,1,2,1,0,1,0,0,1
283,141403448,1750,1,2,1,0,1,0,0,1
162,141402922,925,1,2,1,0,1,0,0,6
179,141401963,1630,2,2,1,0,1,0,0,3
187,141402138,1250,1,2,1,0,0,0,0,4
197,141402380,1830,1,2,1,0,1,0,0,1
224,141402328,1720,1,3,1,0,0,1,0,1
231,141402659,1645,1,1,1,1,0,0,0,5
239,141402829,1240,1,1,1,1,0,0,1,5
411,141404649,619,1,2,1,0,0,0,0,1
300,141403693,1827,1,1,1,1,0,0,0,5
308,141403756,700,1,2,1,0,1,0,0,1
321,141403767,1500,1,2,1,0,1,0,0,1
324,141403910,2130,1,1,1,1,0,0,0,5
327,141403929,814,1,2,1,0,0,0,0,1
329,141404028,1840,1,2,1,0,1,0,1,3
336,141403961,1736,1,2,1,0,1,0,0,2
343,141404112,40,1,1,1,1,0,0,0,5
347,141404118,815,1,2,1,0,1,0,1,3
348,141404209,1930,1,2,1,0,0,0,0,1
352,141404258,1948,2,2,1,0,1,0,0,3
418,141404667,1354,1,2,1,0,0,1,0,1
424,141404685,35,2,1,2,2,0,0,0,5
426,141404693,1630,1,2,1,0,0,0,0,1
427,141404703,2344,1,2,2,0,0,0,0,2
440,141404880,2344,1,2,2,0,0,0,0,2
359,141404292,1725,1,2,1,0,1,0,0,1
361,141404382,1235,1,1,1,1,0,0,0,5
362,141404391,1324,1,2,1,0,1,0,0,1
365,141404420,1315,1,1,1,1,0,0,0,5
376,141404549,1622,1,3,1,0,0,0,0,2
381,141404581,1910,1,2,1,0,0,1,0,3
382,141404584,1753,2,1,1,1,0,0,1,5
386,141404596,1723,1,2,1,0,1,0,0,3
388,141404607,1515,1,2,1,0,1,0,0,3
390,141402587,2359,1,3,1,0,0,0,0,1
391,141404001,2030,1,2,5,0,0,0,2,2
393,141404376,1805,1,2,1,0,1,0,1,1
394,141404380,1730,1,2,2,0,0,0,0,2
398,141404505,1415,1,2,1,0,0,0,0,1
403,141404559,1630,1,1,2,1,0,1,1,5
468,141405190,940,1,1,1,1,0,0,0,5
605,141406350,800,1,2,1,0,1,0,0,6
485,141405365,115,1,2,3,0,0,0,0,2
498,141405496,1550,1,2,1,0,0,0,0,2
500,141405508,1144,1,2,1,0,0,0,0,3
509,141405495,820,2,2,1,0,1,0,0,1
511,141405531,1055,1,1,1,1,0,1,0,5
515,141405584,1053,1,2,1,0,0,0,0,2
528,141405721,1525,2,2,1,1,0,1,0,5
532,141405796,850,2,2,1,0,0,1,0,1
536,141405843,1150,1,2,1,0,0,0,0,1
539,141405470,1300,1,1,1,1,0,0,0,5
549,141405933,910,1,2,2,0,0,0,0,3
552,141405967,2312,1,2,1,0,1,0,0,1
553,141405985,1645,1,2,1,0,1,0,0,1
554,141406007,37,1,1,1,1,0,0,0,5
631,141406556,55,1,1,1,0,0,0,0,4
633,141406582,1730,2,2,1,0,1,0,0,1
634,141406586,1247,1,3,2,0,0,0,0,1
635,141406587,900,1,2,1,0,1,0,0,1
636,141406595,854,1,2,1,0,1,0,0,1
579,141406134,1505,1,1,2,0,0,0,1,1
584,141406054,2330,1,1,1,1,0,0,0,5
586,141406063,1610,1,4,1,0,1,0,0,1
641,141406643,1230,2,2,1,0,1,0,0,3
759,141407611,1410,1,2,1,0,1,0,0,3
762,141407625,1455,2,1,1,1,0,0,1,5
769,141407667,50,1,1,1,1,0,0,0,5
774,141407703,1627,1,1,1,1,0,0,0,5
777,141407733,1130,1,2,1,0,0,0,0,1
785,141407783,1715,1,3,1,0,0,0,0,1
802,141408077,1740,1,2,1,0,0,1,0,1
663,141406800,1541,1,2,1,0,1,0,1,1
688,141406838,1209,1,2,1,0,1,0,0,3
697,141407061,1945,1,2,1,0,1,0,0,6
707,141407064,1835,1,2,1,0,1,0,0,6
709,141407096,850,1,1,1,1,0,0,1,5
718,141407246,1336,1,2,1,0,1,0,0,1
719,141407344,1524,1,2,1,0,1,0,0,3
722,141407376,1805,1,2,1,0,1,0,0,3
726,141407118,1020,1,2,1,0,0,0,0,2
729,141407371,1410,1,2,1,0,0,0,0,3
739,141407473,124,1,1,2,0,0,0,0,4
808,141408213,1700,1,2,2,0,0,0,0,3
816,141408030,1132,1,1,1,0,0,0,0,1
817,141408057,1230,1,1,1,1,0,0,0,5
822,141408417,1629,1,4,1,0,0,0,0,4
824,141408425,1815,1,2,1,0,1,0,0,3
825,141408435,1115,1,4,2,0,0,0,1,3
830,141408478,1707,2,2,1,0,0,1,0,3
832,141408050,1745,1,2,1,0,1,0,0,1
834,141408267,1625,1,6,6,0,0,0,1,2
837,141408392,1630,1,2,2,0,0,0,0,1
840,141408569,1733,1,1,1,1,0,0,0,5
842,141408589,2040,1,2,1,0,1,0,0,1
845,141408641,1620,1,2,1,0,0,1,0,1
847,141408643,928,1,1,1,0,0,0,0,4
848,141408644,1504,1,1,1,1,0,0,0,5
849,141408680,1239,1,2,1,0,0,0,0,3
944,141408912,1830,1,2,3,0,0,0,1,2
946,141408936,1450,1,3,1,0,0,0,0,3
952,141500071,1805,1,2,1,0,1,0,0,1
960,141500110,1942,1,2,1,0,0,0,0,3
969,141500223,1737,1,1,1,1,0,0,0,5
987,151500456,2024,2,2,1,0,0,1,0,1
989,151500490,1500,1,1,1,1,0,0,0,5
857,141408790,1500,1,2,1,0,1,0,0,1
860,141408895,1100,1,2,1,0,0,0,0,1
869,141409079,1540,1,2,1,0,0,0,0,2
871,141409087,1500,1,1,1,1,0,0,0,5
883,141408759,2100,1,2,1,0,0,0,0,3
891,141409262,415,1,2,1,0,0,1,0,6
894,141409138,1430,1,1,1,1,0,0,1,5
896,141409189,1630,1,2,1,0,1,0,0,1
898,141409268,1340,1,2,1,0,1,0,0,3
903,141500014,1640,1,2,1,0,0,1,0,1
917,141408421,1545,1,1,1,1,0,0,0,5
919,141408471,1720,1,2,1,0,1,0,0,1
937,141408794,1620,1,2,1,0,0,1,0,1
941,141408854,1030,1,2,1,1,0,0,0,5
1115,151501767,1615,2,2,1,0,1,0,0,1
1007,151500478,1915,1,2,1,0,0,0,0,1
1009,141500533,1745,1,2,1,0,0,1,0,1
1019,151500577,1750,1,2,1,0,0,1,0,3
1023,151500704,1730,1,2,1,0,0,1,0,1
1028,151500836,1400,1,2,1,0,0,0,0,1
1029,151500856,814,1,2,1,0,0,0,0,1
1032,141500899,1456,1,4,1,0,0,0,0,3
1050,151501144,810,1,2,1,0,1,0,0,1
1051,141501183,30,1,1,1,0,0,1,0,1
1118,151501848,2033,1,2,1,0,1,0,0,3
1119,151501849,1310,1,2,1,0,0,1,0,1
1148,151502017,1119,1,2,1,0,0,0,0,2
1071,151501396,1705,1,2,1,0,0,0,0,2
1091,151501475,1005,1,2,1,0,0,0,0,2
1098,141501340,1930,2,1,1,0,0,0,0,4
1155,151502145,1600,1,1,1,1,0,0,1,5
1159,151501990,1550,1,2,1,0,1,0,0,6
1161,151502172,1445,1,2,4,0,0,0,0,1
1166,151502231,1310,1,2,1,0,0,1,0,3
1176,151502328,1638,2,2,1,0,0,1,0,3
1298,151503289,1800,2,1,1,1,0,0,1,5
1303,151503051,1405,1,2,1,0,1,0,0,6
1313,151503425,355,1,2,1,0,0,0,0,1
1188,151502357,1150,1,2,1,0,0,0,0,1
1200,141407727,1455,1,2,1,0,0,0,0,3
1204,141407791,900,1,2,1,0,1,0,0,1
1219,141408036,1350,1,1,2,1,0,0,0,5
1225,151502397,915,1,1,1,0,0,0,0,1
1228,151502516,1427,2,2,1,0,1,0,0,3
1231,151502631,1544,1,2,1,0,0,0,0,3
1242,151502707,1010,1,3,2,0,0,0,0,1
1249,151502793,600,1,2,2,0,0,0,0,3
1335,151503561,853,1,2,1,0,1,0,0,3
1257,151502699,2235,1,2,1,0,0,0,0,1
1258,151502739,1430,1,2,1,0,0,0,0,3
1262,151502841,1230,1,2,2,0,0,0,0,2
1279,151503063,1555,1,2,1,0,0,1,0,1
1282,151503101,2215,1,1,4,0,0,0,0,4
1340,151503680,233,1,2,1,0,1,0,0,1
1463,151504653,30,1,1,1,1,0,0,0,5
1480,151504937,2233,1,2,1,0,0,0,0,2
1482,151505065,2000,1,2,1,0,0,1,0,6
1490,151505223,1503,1,2,1,0,1,0,0,3
1492,151504983,825,1,2,1,0,1,0,0,3
1501,151505279,55,1,2,1,0,0,0,0,1
1505,151505314,1643,1,2,1,0,1,0,0,1
1362,151504122,1525,1,1,2,2,0,0,1,5
1385,151503705,930,1,1,1,1,0,1,0,5
1391,151503764,1801,1,2,2,0,0,0,0,1
1393,151503808,2230,1,4,2,0,0,0,0,4
1395,151503821,7,2,1,1,1,0,1,0,5
1396,151503823,2225,1,6,1,1,0,0,0,5
1401,151503968,900,1,2,1,0,1,0,0,1
1407,151504277,1908,1,2,1,0,0,0,0,1
1408,151504279,1925,1,2,1,0,0,1,0,1
1428,151504454,1850,1,2,1,0,0,0,0,3
1434,151504259,1545,1,2,1,0,1,0,0,5
1443,151504596,1350,2,2,1,0,0,1,0,1
1449,151504734,1637,1,2,1,0,1,0,1,3
1455,151504770,835,1,2,4,0,0,0,0,3
1527,151505248,1554,1,2,1,0,1,0,0,1
1528,151505298,1400,1,1,1,1,0,0,0,5
1533,151505589,1745,1,2,1,0,0,0,0,2
1534,151505602,1800,1,2,1,0,1,0,0,3
1535,151505617,1010,1,1,1,0,0,0,0,4
1538,151505640,1715,2,2,1,0,1,1,0,3
1539,151505650,1655,1,3,1,0,0,1,0,2
1655,151506848,1217,2,1,3,2,1,0,1,5
1660,151506544,800,1,1,1,1,0,0,0,5
1553,151505758,1200,1,2,2,0,0,1,0,1
1554,151505469,1158,1,2,1,0,0,0,0,2
1559,151505800,725,1,2,1,0,0,0,0,3
1562,151505838,2200,1,2,1,0,1,0,0,1
1568,151505919,804,1,3,3,0,0,0,0,2
1574,151505819,1410,1,2,1,0,1,0,0,1
1581,151505990,1214,1,2,2,0,0,0,0,1
1589,151506106,1400,1,2,1,0,0,0,0,1
1594,151506024,750,1,4,3,0,0,0,0,2
1596,151506115,1810,1,2,1,0,1,0,0,3
1610,151506324,1007,1,4,1,0,0,0,0,3
1623,151506482,1454,1,1,1,1,0,0,1,5
1629,151506623,1400,1,2,1,0,0,0,0,4
1642,151506696,1700,1,2,1,0,0,1,0,3
1643,151506720,1100,1,2,1,0,0,1,0,4
1648,151506800,1107,1,2,1,0,0,0,0,6
1707,151507423,5,2,1,1,0,0,1,0,4
1710,151507437,830,2,1,1,1,0,0,1,5
1711,151507438,1959,1,2,1,0,0,0,0,3
1713,151507444,2143,1,2,3,0,0,0,0,3
1719,151507310,1645,1,2,1,0,1,0,0,2
1722,151507486,1110,2,2,1,0,1,0,0,3
1723,151507487,1530,1,1,1,1,0,0,0,5
1725,151507513,1603,1,1,1,1,0,0,0,5
1733,151507278,850,1,2,1,0,0,0,0,2
1740,151507643,845,1,2,1,0,1,0,0,1
1745,151507762,858,1,2,1,0,0,1,0,4
1753,151507787,2030,1,1,1,0,0,0,0,4
1817,151508218,830,1,1,1,1,0,0,0,5
1825,151508365,1000,1,5,2,0,0,0,0,1
1834,151508460,1810,1,2,1,0,0,0,0,3
